Country,Branch,Product,Number of Customers,Revenue,Marketing Spend,Operational Cost,Regulatory Compliance Cost,Net Interest Margin %,Non Interest Income,Loan Quality Score,Credit Risk Score,GDP Billion USD,Inflation %,Interest Rate %,Total Cost,Profit,Profit Margin
Kuwait,Branch_6,Auto Loan,"5,977.00","479,779.39","516,980.33","992,720.38","227,458.95",4.98,"414,486.99",310.86,7.52,980.89,2.02,3.11,"1,737,159.66","-842,893.28",-176%
Oman,Branch_2,SME Loan,"1,401.00","6,252,497.78","92,042.21","351,398.25","127,535.06",2.51,"323,567.63",610.67,8.24,"1,056.28",3.07,3.34,"570,975.52","6,005,089.89",96%
Qatar,Branch_6,Credit Card,"2,641.00","7,800,989.28","657,569.70","915,890.70","53,930.52",1.92,"96,803.90",713.66,3.66,"1,126.88",2.33,2.92,"1,627,390.92","6,270,402.26",80%
UAE,Branch_4,Home Loan,"2,151.00","5,053,547.77","911,688.93","1,031,350.32","276,336.69",4.19,"143,205.41",734.84,7.00,565.59,3.93,4.36,"2,219,375.94","2,977,377.24",59%
Bahrain,Branch_6,Auto Loan,"6,909.00","3,639,381.95","97,778.69","1,072,783.81","160,870.64",3.97,"257,937.74",801.33,2.22,833.14,2.42,1.01,"1,331,433.14","2,565,886.55",71%
Saudi Arabia,Branch_10,Auto Loan,"8,733.00","2,846,524.67","267,193.89","1,643,402.85","264,392.56",4.24,"165,395.09",425.99,4.87,682.20,3.79,3.19,"2,174,989.30","836,930.46",29%
Saudi Arabia,Branch_8,SME Loan,"9,096.00","6,463,740.30","902,796.43","1,044,322.31","107,028.94",4.28,"3,453.29",706.12,9.45,250.41,5.12,2.78,"2,054,147.68","4,413,045.91",68%
Saudi Arabia,Branch_9,Credit Card,174.00,"6,958,731.87","287,922.19","476,952.17","419,895.47",3.75,"21,298.38",754.90,3.94,992.38,3.75,2.38,"1,184,769.83","5,795,260.42",83%
Qatar,Branch_4,Auto Loan,"7,081.00","8,722,579.24","655,673.95","1,332,994.90","499,850.12",3.72,"384,116.45",759.95,2.39,"1,337.26",5.19,2.06,"2,488,518.97","6,618,176.72",76%
UAE,Branch_1,Personal Loan,"5,575.00","3,489,107.42","537,144.07","1,598,682.01","164,589.74",5.66,"42,769.88",526.35,2.32,"1,397.91",4.06,1.19,"2,300,415.82","1,231,461.48",35%
Oman,Branch_9,Wealth Management,"8,332.00","7,720,745.84","598,345.97","652,355.90","421,952.17",3.90,"464,082.91",644.29,4.54,872.65,5.35,3.42,"1,672,654.04","6,512,174.71",84%
Oman,Branch_6,Personal Loan,"7,284.00","5,657,422.66","418,709.96","1,297,705.74","437,128.14",4.28,"221,925.49",603.36,3.03,"1,195.65",5.65,1.03,"2,153,543.84","3,725,804.31",66%
Oman,Branch_5,Auto Loan,"5,896.00","8,840,081.26","303,491.51","310,937.23","498,056.53",2.70,"379,335.13",628.62,4.84,"1,126.14",3.54,4.23,"1,112,485.27","8,106,931.12",92%
Qatar,Branch_5,SME Loan,"7,241.00","5,325,339.87","53,290.78","697,014.08","174,646.46",5.42,"63,626.79",455.12,7.47,497.57,4.95,2.51,"924,951.32","4,464,015.34",84%
Oman,Branch_1,SME Loan,"1,722.00","5,224,535.30","745,559.53","1,820,263.38","379,240.49",1.61,"463,327.20",675.78,8.99,281.78,3.34,3.22,"2,945,063.40","2,742,799.10",52%
Bahrain,Branch_10,Wealth Management,"8,141.00","5,820,983.11","747,362.99","1,824,390.16","118,260.46",4.01,"17,870.61",690.51,1.99,"1,172.21",4.53,0.85,"2,690,013.61","3,148,840.11",54%
Saudi Arabia,Branch_5,SME Loan,441.00,"7,518,222.02","672,372.11","1,159,142.67","314,274.02",3.23,"22,026.44",407.77,7.92,567.50,1.19,0.92,"2,145,788.80","5,394,459.66",72%
Qatar,Branch_7,Credit Card,"2,174.00","9,650,435.74","645,415.62","1,410,655.89","353,897.07",4.22,"28,238.30",544.00,1.93,914.20,5.83,1.56,"2,409,968.58","7,268,705.46",75%
Bahrain,Branch_3,Personal Loan,"8,092.00","828,277.21","247,498.55","1,710,950.52","371,854.74",3.12,"52,600.67",532.16,4.41,881.28,5.47,4.01,"2,330,303.81","-1,449,425.93",-175%
Kuwait,Branch_4,Home Loan,745.00,"629,002.56","27,233.21","1,917,935.31","107,550.22",4.73,"243,928.99",711.92,9.97,"1,263.24",5.47,2.69,"2,052,718.74","-1,179,787.19",-188%
Bahrain,Branch_5,Auto Loan,"4,363.00","9,381,748.34","809,671.82","989,975.15","425,119.16",1.59,"394,349.94",666.58,1.62,"1,038.04",2.41,1.90,"2,224,766.13","7,551,332.15",80%
Bahrain,Branch_9,Credit Card,"8,901.00","5,345,768.69","493,682.84","1,131,919.96","213,381.07",3.33,"143,188.97",561.91,1.21,"1,301.29",2.42,4.32,"1,838,983.87","3,649,973.79",68%
UAE,Branch_3,Credit Card,"6,236.00","6,187,539.84","310,303.94","842,970.30","112,102.91",5.24,"373,142.63",658.89,4.00,"1,177.91",3.01,1.36,"1,265,377.15","5,295,305.32",86%
Qatar,Branch_3,SME Loan,"8,746.00","4,875,993.66","106,422.25","162,524.24","273,552.89",2.63,"387,256.43",444.57,9.56,"1,499.78",5.40,1.67,"542,499.38","4,720,750.71",97%
Qatar,Branch_8,Wealth Management,"3,069.00","1,027,208.78","67,407.98","857,150.88","432,361.78",1.74,"454,230.39",427.79,1.18,"1,323.04",5.29,4.00,"1,356,920.64","124,518.53",12%
Saudi Arabia,Branch_9,Auto Loan,"3,128.00","7,704,084.85","352,122.39","1,585,442.13","483,708.52",3.73,"75,526.61",431.96,3.00,474.40,2.45,0.62,"2,421,273.04","5,358,338.42",70%
Bahrain,Branch_5,Credit Card,"7,743.00","7,497,523.99","805,713.38","1,613,673.29","375,362.87",5.89,"68,631.72",316.22,6.43,"1,449.81",3.71,1.49,"2,794,749.54","4,771,406.17",64%
Bahrain,Branch_9,Personal Loan,"2,781.00","3,185,862.88","919,130.13","1,786,906.69","7,783.33",1.79,"61,925.43",680.09,3.10,642.17,3.38,2.85,"2,713,820.15","533,968.16",17%
Bahrain,Branch_4,Home Loan,"3,729.00","3,131,768.53","897,267.61","121,904.08","71,676.88",1.82,"180,295.99",842.22,1.48,990.19,4.25,4.62,"1,090,848.57","2,221,215.95",71%
Kuwait,Branch_8,Auto Loan,"4,325.00","8,394,629.67","920,400.83","1,063,766.09","42,755.62",4.18,"245,216.92",469.97,1.47,"1,423.76",2.07,1.70,"2,026,922.54","6,612,924.05",79%
Bahrain,Branch_8,Credit Card,"3,167.00","816,336.85","908,186.72","232,700.49","55,100.80",2.63,"231,343.07",811.41,6.03,478.41,1.43,1.46,"1,195,988.01","-148,308.09",-18%
Bahrain,Branch_7,Credit Card,"6,041.00","8,822,940.97","529,588.63","417,469.52","194,602.30",3.35,"129,267.32",633.60,6.06,"1,314.49",1.14,4.89,"1,141,660.45","7,810,547.84",89%
Kuwait,Branch_7,Personal Loan,"1,486.00","2,640,950.73","223,318.56","1,802,428.67","172,554.19",5.24,"311,367.83",423.71,7.36,"1,439.10",2.91,2.86,"2,198,301.42","754,017.14",29%
Saudi Arabia,Branch_5,Auto Loan,"2,966.00","5,970,549.00","799,056.35","1,003,646.69","61,274.07",2.39,"169,798.54",306.53,2.19,"1,309.88",5.73,0.78,"1,863,977.11","4,276,370.43",72%
UAE,Branch_3,Credit Card,"4,888.00","9,366,342.37","217,644.41","1,521,918.94","441,706.50",4.74,"183,675.41",698.05,5.50,"1,264.92",4.42,1.74,"2,181,269.85","7,368,747.93",79%
Saudi Arabia,Branch_1,Home Loan,"5,590.00","6,813,412.77","270,871.24","147,480.53","309,636.65",3.77,"53,659.50",683.12,6.41,544.00,4.75,2.90,"727,988.42","6,139,083.85",90%
Qatar,Branch_1,Home Loan,"4,224.00","4,202,855.14","237,088.05","845,316.48","399,249.34",5.57,"296,523.44",426.09,3.00,729.23,5.73,0.82,"1,481,653.87","3,017,724.71",72%
Bahrain,Branch_9,Home Loan,"8,440.00","6,926,388.67","517,407.49","1,354,995.76","188,916.95",5.88,"327,984.91",482.99,5.93,"1,188.43",3.11,3.62,"2,061,320.20","5,193,053.38",75%
Kuwait,Branch_1,Wealth Management,"3,950.00","3,505,398.40","325,218.37","284,144.83","208,066.83",3.68,"379,217.16",793.93,7.37,353.62,3.37,2.85,"817,430.03","3,067,185.53",87%
Oman,Branch_1,Auto Loan,"5,515.00","2,844,858.32","158,385.27","665,119.40","162,222.50",4.13,"452,100.60",386.48,9.92,"1,354.88",2.80,3.69,"985,727.17","2,311,231.75",81%
Qatar,Branch_3,Home Loan,"7,779.00","9,967,164.45","455,907.54","147,804.65","222,021.17",4.86,"383,236.22",759.49,6.37,473.33,1.91,2.04,"825,733.36","9,524,667.31",96%
Oman,Branch_1,SME Loan,"6,919.00","7,532,823.29","874,537.70","1,309,653.08","307,136.74",2.93,"118,636.09",393.07,8.75,934.25,4.83,2.39,"2,491,327.52","5,160,131.86",69%
Oman,Branch_2,Wealth Management,"9,428.00","6,482,727.78","572,700.09","1,942,364.69","249,027.08",2.52,"118,591.92",564.95,8.50,336.58,5.53,4.68,"2,764,091.86","3,837,227.84",59%
Saudi Arabia,Branch_5,Home Loan,"8,478.00","3,617,367.47","878,943.93","1,657,550.07","419,768.92",5.84,"457,628.51",574.43,9.46,440.75,5.07,1.45,"2,956,262.92","1,118,733.06",31%
Oman,Branch_1,Auto Loan,"9,542.00","586,692.21","199,892.82","1,949,753.77","450,568.89",3.45,"395,276.65",559.65,7.51,961.15,1.24,0.68,"2,600,215.48","-1,618,246.62",-276%
Qatar,Branch_5,Wealth Management,"1,433.00","407,463.07","171,139.00","1,694,297.49","237,493.51",1.51,"391,340.97",458.36,2.92,"1,025.03",2.50,4.92,"2,102,930.00","-1,304,125.96",-320%
UAE,Branch_9,Personal Loan,"4,250.00","5,586,394.43","577,699.24","1,713,287.70","123,675.25",5.27,"360,137.12",439.35,3.68,550.68,3.96,0.53,"2,414,662.19","3,531,869.36",63%
Bahrain,Branch_9,SME Loan,"6,866.00","7,644,123.94","466,012.26","1,162,810.85","472,870.25",4.20,"134,333.79",703.24,8.06,354.83,2.64,4.50,"2,101,693.36","5,676,764.37",74%
Kuwait,Branch_1,Credit Card,"2,811.00","5,420,053.99","661,871.78","1,046,139.58","368,844.13",2.26,"423,857.76",451.62,5.69,914.42,1.75,4.22,"2,076,855.49","3,767,056.26",70%
Saudi Arabia,Branch_5,Home Loan,"4,953.00","8,423,772.21","795,653.66","824,383.45","321,862.91",1.64,"72,299.45",635.45,3.26,"1,292.83",3.69,2.69,"1,941,900.02","6,554,171.64",78%
Bahrain,Branch_9,Personal Loan,"6,312.00","430,922.68","752,550.76","1,639,827.89","373,979.80",2.81,"175,658.79",765.65,6.91,461.88,3.61,3.67,"2,766,358.45","-2,159,776.98",-501%
Qatar,Branch_1,Wealth Management,"7,579.00","3,730,845.56","942,549.87","380,493.87","42,610.98",5.68,"173,890.80",760.37,9.16,"1,099.03",4.55,0.97,"1,365,654.72","2,539,081.64",68%
Oman,Branch_10,SME Loan,"5,508.00","2,446,996.87","401,265.13","131,325.33","38,475.03",5.70,"280,505.94",391.93,4.22,701.65,6.00,3.94,"571,065.49","2,156,437.32",88%
Oman,Branch_8,Credit Card,"7,815.00","4,528,002.38","210,354.81","1,896,829.77","80,794.72",2.90,"232,258.33",660.11,6.37,"1,426.01",4.24,4.03,"2,187,979.30","2,572,281.41",57%
UAE,Branch_8,Credit Card,"9,042.00","816,526.29","553,158.08","27,480.81","77,988.23",5.26,"230,444.26",631.25,6.23,307.35,2.58,0.73,"658,627.12","388,343.43",48%
Qatar,Branch_8,Wealth Management,"1,862.00","9,545,903.25","115,189.40","1,954,122.06","213,231.89",3.49,"277,232.64",455.09,2.14,251.96,5.78,2.74,"2,282,543.35","7,540,592.54",79%
UAE,Branch_5,Home Loan,"7,201.00","2,310,228.47","292,406.87","1,463,129.67","82,915.02",4.44,"208,293.81",515.30,1.81,361.60,3.86,4.77,"1,838,451.56","680,070.72",29%
UAE,Branch_5,Credit Card,"7,774.00","9,230,846.98","211,848.61","670,427.86","427,990.19",3.00,"125,741.63",456.81,9.00,"1,217.18",4.23,4.78,"1,310,266.66","8,046,321.95",87%
Saudi Arabia,Branch_10,Home Loan,"6,222.00","4,316,342.23","399,580.90","1,401,683.29","291,157.98",3.82,"332,396.24",595.39,9.40,"1,399.60",2.79,4.93,"2,092,422.17","2,556,316.30",59%
Kuwait,Branch_1,Home Loan,581.00,"9,856,688.92","115,660.49","1,639,392.81","187,289.64",2.82,"395,526.06",742.00,9.14,"1,269.22",3.26,3.45,"1,942,342.94","8,309,872.04",84%
UAE,Branch_8,SME Loan,253.00,"5,585,178.00","36,682.54","505,816.87","39,463.16",1.78,"240,018.94",782.63,4.57,"1,133.18",3.09,1.14,"581,962.57","5,243,234.37",94%
Qatar,Branch_2,Personal Loan,"7,717.00","9,315,245.36","658,510.03","1,546,373.45","297,558.76",2.13,"325,092.11",697.55,3.59,274.86,5.68,2.36,"2,502,442.24","7,137,895.23",77%
Bahrain,Branch_9,SME Loan,"1,624.00","152,954.99","612,197.73","1,612,651.86","62,683.75",2.81,"268,146.28",565.90,9.48,477.96,5.05,3.77,"2,287,533.34","-1,866,432.07",-1220%
Kuwait,Branch_9,SME Loan,"2,220.00","7,507,564.18","709,817.14","513,722.17","372,894.02",5.89,"30,439.22",826.95,8.95,"1,415.99",1.45,1.78,"1,596,433.33","5,941,570.07",79%
Saudi Arabia,Branch_9,Auto Loan,"2,443.00","9,040,201.47","662,084.51","103,014.18","402,365.26",5.85,"212,119.25",610.13,8.38,"1,009.63",2.57,4.15,"1,167,463.95","8,084,856.77",89%
Oman,Branch_8,Auto Loan,"5,236.00","1,483,233.61","118,723.21","424,162.12","274,268.25",5.22,"5,916.40",563.20,4.01,808.82,1.28,4.38,"817,153.58","671,996.43",45%
Oman,Branch_7,Wealth Management,"5,860.00","1,051,645.93","294,623.49","417,279.89","79,053.42",2.55,"331,277.76",771.23,6.75,"1,048.01",3.58,3.94,"790,956.80","591,966.89",56%
Bahrain,Branch_10,Home Loan,"1,340.00","4,303,268.81","133,878.98","149,176.10","394,497.05",3.49,"254,572.57",401.54,7.75,432.17,2.40,2.04,"677,552.13","3,880,289.25",90%
UAE,Branch_3,Personal Loan,160.00,"9,343,421.17","843,757.54","1,457,494.62","157,374.76",3.48,"64,288.94",386.83,6.19,"1,360.73",1.37,3.84,"2,458,626.92","6,949,083.19",74%
UAE,Branch_10,Credit Card,"9,230.00","5,469,626.95","748,169.14","772,350.35","115,213.31",3.24,"271,553.57",730.40,6.42,"1,053.19",4.86,0.83,"1,635,732.80","4,105,447.72",75%
UAE,Branch_2,Personal Loan,"1,739.00","5,321,818.99","205,519.37","1,771,084.61","237,925.54",1.70,"449,314.58",778.81,7.81,812.62,1.46,2.01,"2,214,529.52","3,556,604.05",67%
Kuwait,Branch_9,Wealth Management,"6,285.00","1,497,148.57","344,602.69","519,298.79","461,709.89",3.91,"170,904.89",340.03,7.90,794.59,2.36,3.95,"1,325,611.37","342,442.09",23%
Oman,Branch_6,Credit Card,"8,070.00","107,816.16","966,781.92","917,399.69","152,199.78",1.83,"491,202.01",720.25,3.16,"1,269.09",4.86,4.08,"2,036,381.39","-1,437,363.22",-1333%
UAE,Branch_4,Wealth Management,"1,352.00","8,120,386.90","596,188.56","1,285,254.51","453,261.36",5.11,"479,730.57",533.45,4.52,600.23,3.56,1.93,"2,334,704.43","6,265,413.04",77%
Bahrain,Branch_9,Home Loan,"4,303.00","966,988.17","802,149.82","1,757,380.60","31,558.39",4.61,"392,869.61",687.05,8.03,378.27,5.09,4.82,"2,591,088.81","-1,231,231.03",-127%
Bahrain,Branch_10,Personal Loan,"8,463.00","6,375,113.21","268,268.08","1,058,749.78","46,344.23",3.09,"407,086.19",374.23,3.35,441.37,3.07,1.73,"1,373,362.09","5,408,837.31",85%
UAE,Branch_6,SME Loan,"9,750.00","9,154,702.90","214,002.66","759,578.76","350,787.71",4.41,"205,862.13",835.16,9.24,305.48,5.07,3.47,"1,324,369.13","8,036,195.90",88%
Kuwait,Branch_5,Wealth Management,"3,649.00","2,165,653.94","784,997.34","1,736,689.86","99,343.37",2.55,"201,868.01",784.70,8.55,860.22,3.69,4.46,"2,621,030.57","-253,508.62",-12%
Oman,Branch_4,Auto Loan,"4,297.00","6,686,201.08","687,443.09","634,287.92","161,727.24",2.69,"477,244.28",523.28,9.06,"1,080.44",1.44,2.98,"1,483,458.25","5,679,987.11",85%
Qatar,Branch_8,Credit Card,"7,109.00","879,115.91","682,573.04","177,258.93","72,504.63",2.91,"183,731.93",791.35,3.68,"1,414.18",3.36,2.36,"932,336.60","130,511.24",15%
Bahrain,Branch_3,Home Loan,"6,767.00","6,077,175.92","554,871.41","901,183.37","169,462.89",5.09,"49,339.57",792.21,1.95,"1,176.06",3.77,1.45,"1,625,517.67","4,500,997.82",74%
Saudi Arabia,Branch_7,Home Loan,"2,422.00","1,722,924.04","565,760.45","1,574,484.75","143,827.70",2.45,"77,197.84",553.69,1.91,958.04,4.06,1.38,"2,284,072.90","-483,951.02",-28%
Kuwait,Branch_1,SME Loan,"9,928.00","7,385,940.25","737,019.02","80,946.05","369,487.13",4.03,"355,489.08",820.79,6.00,"1,323.14",5.64,1.22,"1,187,452.20","6,553,977.13",89%
Qatar,Branch_6,Home Loan,"4,190.00","3,082,189.82","273,652.47","1,180,046.85","352,501.58",2.40,"192,107.49",837.27,3.75,"1,359.88",1.92,2.49,"1,806,200.90","1,468,096.41",48%
Saudi Arabia,Branch_9,Personal Loan,"7,060.00","4,687,570.99","356,004.62","1,197,038.82","477,688.95",2.78,"100,472.08",419.47,3.37,"1,126.10",4.03,2.97,"2,030,732.39","2,757,310.68",59%
Bahrain,Branch_6,Wealth Management,"3,104.00","6,034,362.37","872,278.59","1,858,512.69","363,588.73",2.56,"407,079.28",336.67,3.00,273.17,4.76,4.28,"3,094,380.01","3,347,061.64",55%
Kuwait,Branch_3,Auto Loan,"5,236.00","1,795,606.77","312,320.88","587,200.34","348,934.79",4.40,"244,848.07",482.13,6.06,579.29,5.45,1.48,"1,248,456.01","791,998.83",44%
Kuwait,Branch_4,Personal Loan,429.00,"7,442,214.40","548,578.02","572,096.49","348,630.93",3.87,"284,252.96",568.86,5.93,637.04,3.63,3.90,"1,469,305.44","6,257,161.92",84%
Oman,Branch_10,Personal Loan,"3,740.00","3,096,139.37","704,126.27","892,157.63","442,068.89",4.75,"77,820.73",350.97,4.80,"1,496.60",2.07,3.62,"2,038,352.79","1,135,607.31",37%
Bahrain,Branch_10,SME Loan,"8,082.00","6,657,481.41","999,925.20","726,691.50","151,637.18",2.49,"97,184.35",377.36,2.25,803.41,5.09,3.36,"1,878,253.88","4,876,411.88",73%
Kuwait,Branch_9,SME Loan,"4,207.00","1,667,002.20","438,114.87","1,477,964.81","153,545.59",1.54,"63,802.16",834.43,9.36,"1,190.45",5.53,2.03,"2,069,625.27","-338,820.91",-20%
Bahrain,Branch_8,Credit Card,"1,441.00","6,912,364.83","430,952.41","1,290,669.11","371,900.84",4.56,"257,756.86",705.52,4.85,"1,257.94",1.53,1.93,"2,093,522.36","5,076,599.33",73%
Kuwait,Branch_4,Home Loan,"8,507.00","1,369,061.92","843,375.44","1,522,663.66","118,209.04",2.02,"388,052.85",781.22,2.11,"1,049.24",2.15,3.92,"2,484,248.14","-727,133.37",-53%
Bahrain,Branch_7,Credit Card,438.00,"4,311,029.31","806,475.60","1,643,682.75","456,449.90",2.61,"366,410.34",834.14,1.33,223.76,5.36,1.74,"2,906,608.25","1,770,831.40",41%
Kuwait,Branch_10,SME Loan,"5,995.00","2,547,340.13","732,420.50","1,847,502.64","269,716.95",2.88,"131,354.18",507.98,2.37,225.15,3.42,1.98,"2,849,640.09","-170,945.78",-7%
UAE,Branch_1,Credit Card,"2,808.00","7,508,914.97","465,913.49","873,254.73","153,561.84",4.86,"425,923.54",678.33,3.67,"1,264.41",1.85,4.84,"1,492,730.06","6,442,108.45",86%
UAE,Branch_10,Auto Loan,"1,850.00","2,694,146.54","327,319.42","1,969,700.83","389,169.47",4.32,"53,724.76",401.21,6.67,"1,161.01",4.23,4.99,"2,686,189.72","61,681.58",2%
Oman,Branch_6,Personal Loan,"5,704.00","8,829,001.33","610,686.83","447,008.41","159,598.71",2.33,"57,910.94",603.42,9.74,896.95,3.29,0.51,"1,217,293.95","7,669,618.32",87%
Qatar,Branch_8,SME Loan,"2,521.00","8,929,020.09","876,842.18","1,434,443.02","481,822.77",4.19,"424,802.84",415.43,3.45,523.53,5.84,3.59,"2,793,107.97","6,560,714.96",73%
Qatar,Branch_5,Home Loan,"7,219.00","2,044,769.02","884,358.57","1,077,338.45","491,579.66",4.69,"122,965.36",388.24,8.11,312.73,2.11,2.91,"2,453,276.68","-285,542.30",-14%
Oman,Branch_1,SME Loan,"9,001.00","6,177,074.86","112,955.85","1,637,463.18","335,064.14",3.25,"354,349.81",354.14,9.20,413.55,2.81,2.57,"2,085,483.17","4,445,941.50",72%
Oman,Branch_7,SME Loan,"5,419.00","968,404.65","431,208.53","964,005.63","61,248.78",2.61,"5,530.72",618.86,4.52,954.42,1.83,1.74,"1,456,462.94","-482,527.57",-50%
Bahrain,Branch_2,Personal Loan,"6,709.00","3,976,217.29","467,398.35","1,572,198.50","135,288.38",4.56,"47,706.94",822.42,3.28,909.57,1.25,2.78,"2,174,885.23","1,849,039.00",47%
Oman,Branch_1,Home Loan,"5,487.00","7,161,885.12","977,727.29","1,861,734.06","260,131.40",4.25,"305,035.07",367.22,5.42,"1,423.65",2.37,2.55,"3,099,592.75","4,367,327.44",61%
Oman,Branch_4,Credit Card,"4,093.00","6,628,290.14","679,608.03","1,469,942.65","426,466.49",1.85,"92,025.56",576.27,9.07,"1,444.46",5.10,2.31,"2,576,017.17","4,144,298.53",63%
Oman,Branch_8,Wealth Management,"8,780.00","6,284,536.63","410,210.19","1,556,666.69","96,518.82",4.50,"15,078.63",677.89,1.10,948.81,2.34,4.32,"2,063,395.70","4,236,219.56",67%
UAE,Branch_5,Wealth Management,"8,144.00","2,897,154.55","30,927.60","153,007.35","56,679.71",3.70,"234,006.43",572.72,5.38,"1,293.86",4.48,1.72,"240,614.66","2,890,546.32",100%
Qatar,Branch_10,Home Loan,"8,338.00","3,842,447.00","567,558.23","425,816.17","41,866.35",4.89,"165,929.73",801.48,7.82,"1,255.92",3.63,3.19,"1,035,240.75","2,973,135.98",77%
Bahrain,Branch_1,Credit Card,"4,973.00","1,119,166.83","100,595.60","1,949,121.41","255,948.94",2.36,"401,326.21",391.46,6.41,"1,178.09",3.60,4.39,"2,305,665.95","-785,172.91",-70%
Kuwait,Branch_1,Credit Card,"4,906.00","7,218,325.92","835,277.71","1,392,510.27","442,926.98",2.66,"409,595.67",313.29,5.48,768.54,4.91,4.91,"2,670,714.96","4,957,206.63",69%
UAE,Branch_7,SME Loan,"8,692.00","5,088,499.09","753,756.07","1,131,669.05","25,967.83",3.94,"307,597.14",510.71,5.98,706.23,4.09,3.21,"1,911,392.95","3,484,703.28",68%
Oman,Branch_6,SME Loan,"6,013.00","7,116,779.76","463,206.61","746,613.22","110,099.16",3.67,"147,223.84",605.52,6.57,543.37,1.80,2.84,"1,319,918.99","5,944,084.61",84%
Bahrain,Branch_10,Wealth Management,"7,224.00","2,564,540.90","432,064.73","107,890.22","348,162.22",3.24,"231,351.70",439.98,7.14,"1,418.22",2.10,4.28,"888,117.17","1,907,775.43",74%
Oman,Branch_1,SME Loan,"3,257.00","3,311,938.46","897,852.27","750,889.10","413,802.40",4.86,"351,425.76",392.64,4.21,"1,284.75",3.72,1.35,"2,062,543.77","1,600,820.45",48%
Bahrain,Branch_9,Personal Loan,490.00,"3,408,731.84","292,016.06","1,007,847.49","404,662.77",4.04,"35,584.97",742.66,5.66,430.25,5.23,3.34,"1,704,526.32","1,739,790.49",51%
Saudi Arabia,Branch_5,Wealth Management,"4,530.00","354,849.86","252,774.86","438,689.83","393,608.69",4.70,"166,916.05",403.72,3.46,528.20,1.76,0.79,"1,085,073.38","-563,307.47",-159%
Oman,Branch_1,SME Loan,"8,920.00","3,476,373.94","939,501.45","362,810.85","69,250.90",2.19,"411,362.48",543.48,9.86,955.73,1.53,3.47,"1,371,563.20","2,516,173.22",72%
Qatar,Branch_7,Credit Card,"7,786.00","8,052,715.28","810,199.61","1,026,664.77","201,632.60",4.78,"203,608.24",824.96,2.69,737.68,3.59,4.08,"2,038,496.98","6,217,826.54",77%
Bahrain,Branch_3,Wealth Management,"4,332.00","8,983,255.11","821,522.47","1,180,090.39","492,448.61",3.58,"312,709.34",636.99,2.36,478.07,1.94,0.78,"2,494,061.47","6,801,902.98",76%
Bahrain,Branch_2,SME Loan,"8,107.00","5,230,361.32","199,217.85","495,037.48","494,499.35",1.65,"49,070.85",573.75,3.42,"1,228.50",5.97,4.32,"1,188,754.68","4,090,677.49",78%
Qatar,Branch_6,Home Loan,"1,621.00","4,609,466.78","147,579.51","1,183,031.16","303,201.56",2.56,"388,745.94",498.14,9.28,202.02,1.02,1.06,"1,633,812.23","3,364,400.49",73%
Saudi Arabia,Branch_10,Auto Loan,"9,118.00","405,163.73","30,899.40","1,802,673.13","356,087.27",1.62,"51,132.28",586.21,6.93,646.26,3.24,1.29,"2,189,659.80","-1,733,363.79",-428%
Qatar,Branch_2,Home Loan,"1,600.00","8,804,122.94","240,856.30","956,883.05","475,885.48",3.56,"430,901.10",703.87,5.10,"1,408.15",1.81,4.26,"1,673,624.83","7,561,399.21",86%
Saudi Arabia,Branch_6,Personal Loan,"6,837.00","228,801.11","775,319.54","1,717,632.54","227,714.29",2.97,"54,193.92",752.39,9.33,"1,189.00",4.41,1.06,"2,720,666.37","-2,437,671.34",-1065%
Saudi Arabia,Branch_8,Personal Loan,"3,394.00","9,453,025.79","243,838.23","1,855,997.46","72,749.09",5.94,"445,555.49",657.42,9.10,721.67,4.15,3.53,"2,172,584.78","7,725,996.50",82%
UAE,Branch_6,SME Loan,"5,185.00","4,943,240.86","730,457.77","202,940.18","336,129.69",5.41,"182,521.17",734.67,4.61,"1,407.35",5.04,1.83,"1,269,527.64","3,856,234.39",78%
UAE,Branch_10,Personal Loan,"2,519.00","3,485,151.49","255,648.72","209,706.93","480,250.64",5.22,"312,640.84",348.63,6.07,"1,371.04",3.82,1.62,"945,606.29","2,852,186.04",82%
Bahrain,Branch_3,Credit Card,"9,226.00","9,249,762.50","398,316.04","962,567.48","350,117.02",3.76,"423,428.73",307.91,9.15,268.36,1.95,3.43,"1,711,000.54","7,962,190.69",86%
Bahrain,Branch_8,Credit Card,"3,142.00","341,470.83","983,246.48","1,184,442.84","402,643.96",5.13,"6,110.47",703.93,3.87,366.32,1.27,0.98,"2,570,333.28","-2,222,751.98",-651%
Bahrain,Branch_3,Wealth Management,"4,597.00","5,856,106.46","248,587.67","863,249.26","214,260.66",2.70,"133,580.89",443.94,4.67,703.40,4.61,3.09,"1,326,097.59","4,663,589.76",80%
UAE,Branch_2,Home Loan,"1,566.00","5,534,431.99","379,488.77","666,372.53","52,749.26",4.02,"454,260.82",782.72,8.14,"1,408.22",3.20,4.66,"1,098,610.56","4,890,082.25",88%
UAE,Branch_3,Wealth Management,"3,661.00","2,271,271.97","304,581.74","1,289,168.35","88,596.63",3.27,"194,699.85",594.72,7.29,"1,297.47",2.11,4.33,"1,682,346.72","783,625.10",35%
Oman,Branch_5,Wealth Management,714.00,"4,345,985.57","114,076.86","24,121.39","491,414.14",2.27,"353,481.59",563.19,1.44,262.09,2.26,4.33,"629,612.39","4,069,854.77",94%
